NTPCGREEN.NS,NTPC GREEN ENERGY LIMITED,NTPCGREEN
HAVELLS.NS,HAVELLS INDIA LIMITED,HAVELLS
ADANIENSOL.NS,ADANI ENERGY SOLUTIONS LIMITED,ADANIENSOL
CGPOWER.NS,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,CGPOWER
TORNTPHARM.NS,TORRENT PHARMACEUTICALS LIMITED,TORNTPHARM
DRREDDY.NS,DR. REDDY'S LABORATORIES LIMITED,DRREDDY
IOB.NS,INDIAN OVERSEAS BANK,IOB
ZYDUSLIFE.NS,ZYDUS LIFESCIENCES LIMITED,ZYDUSLIFE
TATACONSUM.NS,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM
UNITDSPR.NS,UNITED SPIRITS LIMITED,UNITDSPR
RVNL.NS,RAIL VIKAS NIGAM LIMITED,RVNL
HEROMOTOCO.NS,HERO MOTOCORP LIMITED,HEROMOTOCO
DABUR.NS,DABUR INDIA LIMITED,DABUR
ICICIPRULI.NS,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,ICICIPRULI
BOSCHLTD.NS,BOSCH LIMITED,BOSCHLTD
POLYCAB.NS,POLYCAB INDIA LIMITED,POLYCAB
INDUSTOWER.NS,INDUS TOWERS LIMITED,INDUSTOWER
CUMMINSIND.NS,CUMMINS INDIA LIMITED,CUMMINSIND
NAUKRI.NS,INFO EDGE (INDIA) LIMITED,NAUKRI
INDHOTEL.NS,THE INDIAN HOTELS COMPANY LIMITED,INDHOTEL
APOLLOHOSP.NS,APOLLO HOSPITALS ENTERPRISE LIMITED,APOLLOHOSP
MANKIND.NS,MANKIND PHARMA LIMITED,MANKIND
OFSS.NS,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,OFSS
INDUSINDBK.NS,INDUSIND BANK LIMITED,INDUSINDBK
ICICIGI.NS,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,ICICIGI
JINDALSTEL.NS,JINDAL STEEL & POWER LIMITED,JINDALSTEL
SOLARINDS.NS,SOLAR INDUSTRIES INDIA LIMITED,SOLARINDS
CANBK.NS,CANARA BANK,CANBK
LUPIN.NS,LUPIN LIMITED,LUPIN
MAXHEALTH.NS,MAX HEALTHCARE INSTITUTE LIMITED,MAXHEALTH
SUZLON.NS,SUZLON ENERGY LIMITED,SUZLON
BHEL.NS,BHARAT HEAVY ELECTRICALS LIMITED,BHEL
UNIONBANK.NS,UNION BANK OF INDIA,UNIONBANK
SHREECEM.NS,SHREE CEMENT LIMITED,SHREECEM
IDBI.NS,IDBI BANK LIMITED,IDBI
NHPC.NS,NHPC LIMITED,NHPC
HDFCAMC.NS,HDFC ASSET MANAGEMENT COMPANY LIMITED,HDFCAMC
MAZDOCK.NS,MAZAGON DOCK SHIPBUILDERS LIMITED,MAZDOCK
OIL.NS,OIL INDIA LIMITED,OIL
COLPAL.NS,COLGATE PALMOLIVE (INDIA) LIMITED,COLPAL
ATGL.NS,ADANI TOTAL GAS LIMITED,ATGL
DIXON.NS,DIXON TECHNOLOGIES (INDIA) LIMITED,DIXON
MARICO.NS,MARICO LIMITED,MARICO
PERSISTENT.NS,PERSISTENT SYSTEMS LIMITED,PERSISTENT
HINDPETRO.NS,HINDUSTAN PETROLEUM CORPORATION LIMITED,HINDPETRO
WAAREEENER.NS,WAAREE ENERGIES LIMITED,WAAREEENER
GODREJPROP.NS,GODREJ PROPERTIES LIMITED,GODREJPROP
TORNTPOWER.NS,TORRENT POWER LIMITED,TORNTPOWER
GMRAIRPORT.NS,GMR AIRPORTS LIMITED,GMRAIRPORT
AUROPHARMA.NS,AUROBINDO PHARMA LIMITED,AUROPHARMA
IDEA.NS,VODAFONE IDEA LIMITED,IDEA
POLICYBZR.NS,PB FINTECH LIMITED,POLICYBZR
TIINDIA.NS,TUBE INVESTMENTS OF INDIA LIMITED,TIINDIA
MUTHOOTFIN.NS,MUTHOOT FINANCE LIMITED,MUTHOOTFIN
INDIANB.NS,INDIAN BANK,INDIANB
PRESTIGE.NS,PRESTIGE ESTATES PROJECTS LIMITED,PRESTIGE
IRCTC.NS,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,IRCTC
SRF.NS,SRF LIMITED,SRF
YESBANK.NS,YES BANK LIMITED,YESBANK
GICRE.NS,GENERAL INSURANCE CORPORATION OF INDIA,GICRE
BHARATFORG.NS,BHARAT FORGE LIMITED,BHARATFORG
OBEROIRLTY.NS,OBEROI REALTY LIMITED,OBEROIRLTY
SBICARD.NS,SBI CARDS AND PAYMENT SERVICES LIMITED,SBICARD
ASHOKLEY.NS,ASHOK LEYLAND LIMITED,ASHOKLEY
ALKEM.NS,ALKEM LABORATORIES LIMITED,ALKEM
JSWINFRA.NS,JSW INFRASTRUCTURE LIMITED,JSWINFRA
KALYANKJIL.NS,KALYAN JEWELLERS INDIA LIMITED,KALYANKJIL
NMDC.NS,NMDC LIMITED,NMDC
BHARTIHEXA.NS,BHARTI HEXACOM LIMITED,BHARTIHEXA
PIIND.NS,PI INDUSTRIES LIMITED,PIIND
SUPREMEIND.NS,SUPREME INDUSTRIES LIMITED,SUPREMEIND
LINDEINDIA.NS,LINDE INDIA LIMITED,LINDEINDIA
PATANJALI.NS,PATANJALI FOODS LIMITED,PATANJALI
BERGEPAINT.NS,BERGER PAINTS (I) LIMITED,BERGEPAINT
FACT.NS,FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,FACT
PHOENIXLTD.NS,THE PHOENIX MILLS LIMITED,PHOENIXLTD
IREDA.NS,INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LIMITED,IREDA
JSL.NS,JINDAL STAINLESS LIMITED,JSL
UNOMINDA.NS,UNO MINDA LIMITED,UNOMINDA
SCHAEFFLER.NS,SCHAEFFLER INDIA LIMITED,SCHAEFFLER
UCOBANK.NS,UCO BANK,UCOBANK
THERMAX.NS,THERMAX LIMITED,THERMAX
BALKRISIND.NS,BALKRISHNA INDUSTRIES LIMITED,BALKRISIND
VOLTAS.NS,VOLTAS LIMITED,VOLTAS
MRF.NS,MRF LIMITED,MRF
MPHASIS.NS,MPHASIS LIMITED,MPHASIS
CONCOR.NS,CONTAINER CORPORATION OF INDIA LIMITED,CONCOR
ABCAPITAL.NS,ADITYA BIRLA CAPITAL LIMITED,ABCAPITAL
LTTS.NS,L&T TECHNOLOGY SERVICES LIMITED,LTTS
POWERINDIA.NS,HITACHI ENERGY INDIA LIMITED,POWERINDIA
SAIL.NS,STEEL AUTHORITY OF INDIA LIMITED,SAIL
TATACOMM.NS,TATA COMMUNICATIONS LIMITED,TATACOMM
NYKAA.NS,FSN E COMMERCE VENTURES LIMITED,NYKAA
UBL.NS,UNITED BREWERIES LIMITED,UBL
PGHH.NS,PROCTER & GAMBLE HYGIENE AND HEALTH CARE LIMITED,PGHH
ASTRAL.NS,ASTRAL LIMITED,ASTRAL
IDFCFIRSTB.NS,IDFC FIRST BANK LIMITED,IDFCFIRSTB
PETRONET.NS,PETRONET LNG LIMITED,PETRONET
BANKINDIA.NS,BANK OF INDIA,BANKINDIA
HUDCO.NS,HOUSING & URBAN DEVELOPMENT CORPORATION LIMITED,HUDCO
PREMIERENE.NS,PREMIER ENERGIES LIMITED,PREMIERENE
CENTRALBK.NS,CENTRAL BANK OF INDIA,CENTRALBK
BSE.NS,BSE LIMITED,BSE
SUNDARMFIN.NS,SUNDARAM FINANCE LIMITED,SUNDARMFIN
COROMANDEL.NS,COROMANDEL INTERNATIONAL LIMITED,COROMANDEL
SJVN.NS,SJVN LIMITED,SJVN
COCHINSHIP.NS,COCHIN SHIPYARD LIMITED,COCHINSHIP
FEDERALBNK.NS,THE FEDERAL BANK  LIMITED,FEDERALBNK
PAGEIND.NS,PAGE INDUSTRIES LIMITED,PAGEIND
COFORGE.NS,COFORGE LIMITED,COFORGE
AUBANK.NS,AU SMALL FINANCE BANK LIMITED,AUBANK
VMM.NS,VISHAL MEGA MART LIMITED,VMM
MOTILALOFS.NS,MOTILAL OSWAL FINANCIAL SERVICES LIMITED,MOTILALOFS
LLOYDSME.NS,LLOYDS METALS AND ENERGY LIMITED,LLOYDSME
BDL.NS,BHARAT DYNAMICS LIMITED,BDL
KPITTECH.NS,KPIT TECHNOLOGIES LIMITED,KPITTECH
TATAELXSI.NS,TATA ELXSI LIMITED,TATAELXSI
GVT&D.NS,GE VERNOVA T&D INDIA LIMITED,GVT&D
GLENMARK.NS,GLENMARK PHARMACEUTICALS LIMITED,GLENMARK
GLAXO.NS,GLAXOSMITHKLINE PHARMACEUTICALS LIMITED,GLAXO
ACC.NS,ACC LIMITED,ACC
FORTIS.NS,FORTIS HEALTHCARE LIMITED,FORTIS
PAYTM.NS,ONE 97 COMMUNICATIONS LIMITED,PAYTM
AWL.NS,ADANI WILMAR LIMITED,AWL
NAM-INDIA.NS,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,NAM-INDIA
HONAUT.NS,HONEYWELL AUTOMATION INDIA LIMITED,HONAUT
OLAELEC.NS,OLA ELECTRIC MOBILITY LIMITED,OLAELEC
FLUOROCHEM.NS,GUJARAT FLUOROCHEMICALS LIMITED,FLUOROCHEM
MAHABANK.NS,BANK OF MAHARASHTRA,MAHABANK
BIOCON.NS,BIOCON LIMITED,BIOCON
UPL.NS,UPL LIMITED,UPL
ESCORTS.NS,ESCORTS KUBOTA LIMITED,ESCORTS
JUBLFOOD.NS,JUBILANT FOODWORKS LIMITED,JUBLFOOD
APLAPOLLO.NS,APL APOLLO TUBES LIMITED,APLAPOLLO
EXIDEIND.NS,EXIDE INDUSTRIES LIMITED,EXIDEIND
SONACOMS.NS,SONA BLW PRECISION FORGINGS LIMITED,SONACOMS
TATATECH.NS,TATA TECHNOLOGIES LIMITED,TATATECH
LTF.NS,L&T FINANCE LIMITED,LTF
GUJGASLTD.NS,GUJARAT GAS LIMITED,GUJGASLTD
360ONE.NS,360 ONE WAM LIMITED,360ONE
3MINDIA.NS,3M INDIA LIMITED,3MINDIA
MFSL.NS,MAX FINANCIAL SERVICES LIMITED,MFSL
KEI.NS,KEI INDUSTRIES LIMITED,KEI
AIAENG.NS,AIA ENGINEERING LIMITED,AIAENG
DEEPAKNTR.NS,DEEPAK NITRITE LIMITED,DEEPAKNTR
NATIONALUM.NS,NATIONAL ALUMINIUM COMPANY LIMITED,NATIONALUM
BLUESTARCO.NS,BLUE STAR LIMITED,BLUESTARCO
NIACL.NS,THE NEW INDIA ASSURANCE COMPANY LIMITED,NIACL
PSB.NS,PUNJAB & SIND BANK,PSB
APARINDS.NS,APAR INDUSTRIES LIMITED,APARINDS
AJANTPHARM.NS,AJANTA PHARMA LIMITED,AJANTPHARM
IPCALAB.NS,IPCA LABORATORIES LIMITED,IPCALAB
LICHSGFIN.NS,LIC HOUSING FINANCE LIMITED,LICHSGFIN
NLCINDIA.NS,NLC INDIA LIMITED,NLCINDIA
M&MFIN.NS,MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,M&MFIN
IRB.NS,IRB INFRASTRUCTURE DEVELOPERS LIMITED,IRB
CRISIL.NS,CRISIL LIMITED,CRISIL
GODREJIND.NS,GODREJ INDUSTRIES LIMITED,GODREJIND
DALBHARAT.NS,DALMIA BHARAT LIMITED,DALBHARAT
SYNGENE.NS,SYNGENE INTERNATIONAL LIMITED,SYNGENE
ENDURANCE.NS,ENDURANCE TECHNOLOGIES LIMITED,ENDURANCE
METROBRAND.NS,METRO BRANDS LIMITED,METROBRAND
JKCEMENT.NS,JK CEMENT LIMITED,JKCEMENT
KAYNES.NS,KAYNES TECHNOLOGY INDIA LIMITED,KAYNES
TATAINVEST.NS,TATA INVESTMENT CORPORATION LIMITED,TATAINVEST
IKS.NS,INVENTURUS KNOWLEDGE SOLUTIONS LIMITED,IKS
IGL.NS,INDRAPRASTHA GAS LIMITED,IGL
ABFRL.NS,ADITYA BIRLA FASHION AND RETAIL LIMITED,ABFRL
APOLLOTYRE.NS,APOLLO TYRES LIMITED,APOLLOTYRE
FIRSTCRY.NS,BRAINBEES SOLUTIONS LIMITED,FIRSTCRY
STARHEALTH.NS,STAR HEALTH AND ALLIED INSURANCE COMPANY LIMITED,STARHEALTH
GODIGIT.NS,GO DIGIT GENERAL INSURANCE LIMITED,GODIGIT
MRPL.NS,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,MRPL
EMAMILTD.NS,EMAMI LIMITED,EMAMILTD
KPRMILL.NS,K.P.R. MILL LIMITED,KPRMILL
CHOLAHLDNG.NS,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,CHOLAHLDNG
SUNTV.NS,SUN TV NETWORK LIMITED,SUNTV
CDSL.NS,CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED,CDSL
MANYAVAR.NS,VEDANT FASHIONS LIMITED,MANYAVAR
BANDHANBNK.NS,BANDHAN BANK LIMITED,BANDHANBNK
GLAND.NS,GLAND PHARMA LIMITED,GLAND
GODFRYPHLP.NS,GODFREY PHILLIPS INDIA LIMITED,GODFRYPHLP
MEDANTA.NS,GLOBAL HEALTH LIMITED,MEDANTA
MSUMI.NS,MOTHERSON SUMI WIRING INDIA LIMITED,MSUMI
BRIGADE.NS,BRIGADE ENTERPRISES LIMITED,BRIGADE
NBCC.NS,NBCC (INDIA) LIMITED,NBCC
HINDCOPPER.NS,HINDUSTAN COPPER LIMITED,HINDCOPPER
POONAWALLA.NS,POONAWALLA FINCORP LIMITED,POONAWALLA
PPLPHARMA.NS,PIRAMAL PHARMA LIMITED,PPLPHARMA
SUVENPHAR.NS,SUVEN PHARMACEUTICALS LIMITED,SUVENPHAR
JBCHEPHARM.NS,JB CHEMICALS & PHARMACEUTICALS LIMITED,JBCHEPHARM
DELHIVERY.NS,DELHIVERY LIMITED,DELHIVERY
GILLETTE.NS,GILLETTE INDIA LIMITED,GILLETTE
CARBORUNIV.NS,CARBORUNDUM UNIVERSAL LIMITED,CARBORUNIV
ABREL.NS,ADITYA BIRLA REAL ESTATE LIMITED,ABREL
BASF.NS,BASF INDIA LIMITED,BASF
ZFCVINDIA.NS,ZF COMMERCIAL VEHICLE CONTROL SYSTEMS INDIA LIMITED,ZFCVINDIA
AEGISLOG.NS,AEGIS LOGISTICS LIMITED,AEGISLOG
ITI.NS,ITI LIMITED,ITI
RADICO.NS,RADICO KHAITAN LIMITED,RADICO
SUNDRMFAST.NS,SUNDRAM FASTENERS LIMITED,SUNDRMFAST
TIMKEN.NS,TIMKEN INDIA LIMITED,TIMKEN
TATACHEM.NS,TATA CHEMICALS LIMITED,TATACHEM
CROMPTON.NS,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,CROMPTON
ISEC.NS,ICICI SECURITIES LIMITED,ISEC
JYOTICNC.NS,JYOTI CNC AUTOMATION LIMITED,JYOTICNC
SUMICHEM.NS,SUMITOMO CHEMICAL INDIA LIMITED,SUMICHEM
LALPATHLAB.NS,DR. LAL PATH LABS LIMITED,LALPATHLAB
INOXWIND.NS,INOX WIND LIMITED,INOXWIND
HSCL.NS,HIMADRI SPECIALITY CHEMICAL LIMITED,HSCL
LAURUSLABS.NS,LAURUS LABS LIMITED,LAURUSLABS
EMCURE.NS,EMCURE PHARMACEUTICALS LIMITED,EMCURE
TVSHLTD.NS,TVS HOLDINGS LIMITED,TVSHLTD
GRINDWELL.NS,GRINDWELL NORTON LIMITED,GRINDWELL
AIIL.NS,AUTHUM INVESTMENT & INFRASTRUCTURE LIMITED,AIIL
WHIRLPOOL.NS,WHIRLPOOL OF INDIA LIMITED,WHIRLPOOL
SKFINDIA.NS,SKF INDIA LIMITED,SKFINDIA
ARE&M.NS,AMARA RAJA ENERGY & MOBILITY LIMITED,ARE&M
HATSUN.NS,HATSUN AGRO PRODUCT LIMITED,HATSUN
NH.NS,NARAYANA HRUDAYALAYA LIMITED,NH
NATCOPHARM.NS,NATCO PHARMA LIMITED,NATCOPHARM
KEC.NS,KEC INTERNATIONAL LIMITED,KEC
RATNAMANI.NS,RATNAMANI METALS & TUBES LIMITED,RATNAMANI
PFIZER.NS,PFIZER LIMITED,PFIZER
EIHOTEL.NS,EIH LIMITED,EIHOTEL
CESC.NS,CESC LIMITED,CESC
KIOCL.NS,KIOCL LIMITED,KIOCL
PEL.NS,PIRAMAL ENTERPRISES LIMITED,PEL
POLYMED.NS,POLY MEDICURE LIMITED,POLYMED
ANGELONE.NS,ANGEL ONE LIMITED,ANGELONE
PNBHOUSING.NS,PNB HOUSING FINANCE LIMITED,PNBHOUSING
IGIL.NS,INTERNATIONAL GEMMOLOGICAL INSTITUTE (INDIA) LIMITED,IGIL
CASTROLIND.NS,CASTROL INDIA LIMITED,CASTROLIND
KANSAINER.NS,KANSAI NEROLAC PAINTS LIMITED,KANSAINER
NUVAMA.NS,NUVAMA WEALTH MANAGEMENT LIMITED,NUVAMA
IRCON.NS,IRCON INTERNATIONAL LIMITED,IRCON
JWL.NS,JUPITER WAGONS LIMITED,JWL
TRITURBINE.NS,TRIVENI TURBINE LIMITED,TRITURBINE
SHYAMMETL.NS,SHYAM METALICS AND ENERGY LIMITED,SHYAMMETL
ANANTRAJ.NS,ANANT RAJ LIMITED,ANANTRAJ
FSL.NS,FIRSTSOURCE SOLUTIONS LIMITED,FSL
ATUL.NS,ATUL LIMITED,ATUL
CAMS.NS,COMPUTER AGE MANAGEMENT SERVICES LIMITED,CAMS
AFFLE.NS,AFFLE (INDIA) LIMITED,AFFLE
TEJASNET.NS,TEJAS NETWORKS LIMITED,TEJASNET
FIVESTAR.NS,FIVE-STAR BUSINESS FINANCE LIMITED,FIVESTAR
APLLTD.NS,ALEMBIC PHARMACEUTICALS LIMITED,APLLTD
ABSLAMC.NS,ADITYA BIRLA SUN LIFE AMC LIMITED,ABSLAMC
JBMA.NS,JBM AUTO LIMITED,JBMA
KAJARIACER.NS,KAJARIA CERAMICS LIMITED,KAJARIACER
DEVYANI.NS,DEVYANI INTERNATIONAL LIMITED,DEVYANI
GRSE.NS,GARDEN REACH SHIPBUILDERS & ENGINEERS LIMITED,GRSE
CYIENT.NS,CYIENT LIMITED,CYIENT
GSPL.NS,GUJARAT STATE PETRONET LIMITED,GSPL
FINCABLES.NS,FINOLEX CABLES LIMITED,FINCABLES
ELGIEQUIP.NS,ELGI EQUIPMENTS LIMITED,ELGIEQUIP
KIMS.NS,KRISHNA INSTITUTE OF MEDICAL SCIENCES LIMITED,KIMS
KPIL.NS,KALPATARU PROJECTS INTERNATIONAL LIMITED,KPIL
ASTERDM.NS,ASTER DM HEALTHCARE LIMITED,ASTERDM
RAMCOCEM.NS,THE RAMCO CEMENTS LIMITED,RAMCOCEM
JINDALSAW.NS,JINDAL SAW LIMITED,JINDALSAW
BIKAJI.NS,BIKAJI FOODS INTERNATIONAL LIMITED,BIKAJI
AARTIIND.NS,AARTI INDUSTRIES LIMITED,AARTIIND
CIEINDIA.NS,CIE AUTOMOTIVE INDIA LIMITED,CIEINDIA
CHAMBLFERT.NS,CHAMBAL FERTILIZERS & CHEMICALS LIMITED,CHAMBLFERT
VINATIORGA.NS,VINATI ORGANICS LIMITED,VINATIORGA
SIGNATURE.NS,SIGNATUREGLOBAL (INDIA) LIMITED,SIGNATURE
SWANENERGY.NS,SWAN ENERGY LIMITED,SWANENERGY
CONCORDBIO.NS,CONCORD BIOTECH LIMITED,CONCORDBIO
NCC.NS,NCC LIMITED,NCC
VGUARD.NS,V-GUARD INDUSTRIES LIMITED,VGUARD
PTCIL.NS,PTC INDUSTRIES LIMITED,PTCIL
SCHNEIDER.NS,SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED,SCHNEIDER
IIFL.NS,IIFL FINANCE LIMITED,IIFL
RELAXO.NS,RELAXO FOOTWEARS LIMITED,RELAXO
HFCL.NS,HFCL LIMITED,HFCL
BLUEDART.NS,BLUE DART EXPRESS LIMITED,BLUEDART
CHALET.NS,CHALET HOTELS LIMITED,CHALET
CELLO.NS,CELLO WORLD LIMITED,CELLO
AFCONS.NS,AFCONS INFRASTRUCTURE LIMITED,AFCONS
AADHARHFC.NS,AADHAR HOUSING FINANCE LIMITED,AADHARHFC
WELCORP.NS,WELSPUN CORP LIMITED,WELCORP
TBOTEK.NS,TBO TEK LIMITED,TBOTEK
