Symbol,Company Name,TEST
NAVINFLUOR.NS,NAVIN FLUORINE INTERNATIONAL LIMITED,NAVINFLUOR
WOCKPHARMA.NS,WOCKHARDT LIMITED,WOCKPHARMA
ASAHIINDIA.NS,ASAHI INDIA GLASS LIMITED,ASAHIINDIA
CGCL.NS,CAPRI GLOBAL CAPITAL LIMITED,CGCL
ZENSARTECH.NS,ZENSAR TECHNOLOGIES LIMITED,ZENSARTECH
IEX.NS,INDIAN ENERGY EXCHANGE LIMITED,IEX
HBLENGINE.NS,HBL ENGINEERING LIMITED,HBLENGINE
NEWGEN.NS,NEWGEN SOFTWARE TECHNOLOGIES LIMITED,NEWGEN
VENTIVE.NS,VENTIVE HOSPITALITY LIMITED,VENTIVE
APTUS.NS,APTUS VALUE HOUSING FINANCE INDIA LIMITED,APTUS
SOBHA.NS,SOBHA LIMITED,SOBHA
ANANDRATHI.NS,ANAND RATHI WEALTH LIMITED,ANANDRATHI
BLS.NS,BLS INTERNATIONAL SERVICES LIMITED,BLS
JUBLPHARMA.NS,JUBILANT PHARMOVA LIMITED,JUBLPHARMA
WELSPUNLIV.NS,WELSPUN LIVING LIMITED,WELSPUNLIV
TTML.NS,TATA TELESERVICES (MAHARASHTRA) LIMITED,TTML
NEULANDLAB.NS,NEULAND LABORATORIES LIMITED,NEULANDLAB
INDIAMART.NS,INDIAMART INTERMESH LIMITED,INDIAMART
PCBL.NS,PCBL LIMITED,PCBL
ACE.NS,ACTION CONSTRUCTION EQUIPMENT LIMITED,ACE
AKZOINDIA.NS,AKZO NOBEL INDIA LIMITED,AKZOINDIA
MANAPPURAM.NS,MANAPPURAM FINANCE LIMITED,MANAPPURAM
MGL.NS,MAHANAGAR GAS LIMITED,MGL
KIRLOSBROS.NS,KIRLOSKAR BROTHERS LIMITED,KIRLOSBROS
DOMS.NS,DOMS INDUSTRIES LIMITED,DOMS
PGEL.NS,PG ELECTROPLAST LIMITED,PGEL
CLEAN.NS,CLEAN SCIENCE AND TECHNOLOGY LIMITED,CLEAN
FINEORG.NS,FINE ORGANIC INDUSTRIES LIMITED,FINEORG
GRINFRA.NS,G R INFRAPROJECTS LIMITED,GRINFRA
ZENTEC.NS,ZEN TECHNOLOGIES LIMITED,ZENTEC
ACMESOLAR.NS,ACME SOLAR HOLDINGS LIMITED,ACMESOLAR
RITES.NS,RITES LIMITED,RITES
REDINGTON.NS,REDINGTON LIMITED,REDINGTON
SAILIFE.NS,SAI LIFE SCIENCES LIMITED,SAILIFE
KSB.NS,KSB LIMITED,KSB
UTIAMC.NS,UTI ASSET MANAGEMENT COMPANY LIMITED,UTIAMC
SANOFI.NS,SANOFI INDIA LIMITED,SANOFI
SPLPETRO.NS,SUPREME PETROCHEM LIMITED,SPLPETRO
DATAPATTNS.NS,DATA PATTERNS (INDIA) LIMITED,DATAPATTNS
NSLNISP.NS,NMDC STEEL LIMITED,NSLNISP
INDGN.NS,INDEGENE LIMITED,INDGN
GODREJAGRO.NS,GODREJ AGROVET LIMITED,GODREJAGRO
PVRINOX.NS,PVR INOX LIMITED,PVRINOX
RPOWER.NS,RELIANCE POWER LIMITED,RPOWER
NIVABUPA.NS,NIVA BUPA HEALTH INSURANCE COMPANY LIMITED,NIVABUPA
NETWEB.NS,NETWEB TECHNOLOGIES INDIA LIMITED,NETWEB
EIDPARRY.NS,EID PARRY INDIA LIMITED,EIDPARRY
CAPLIPOINT.NS,CAPLIN POINT LABORATORIES LIMITED,CAPLIPOINT
GRAVITA.NS,GRAVITA INDIA LIMITED,GRAVITA
RAILTEL.NS,RAILTEL CORPORATION OF INDIA LIMITED,RAILTEL
VTL.NS,VARDHMAN TEXTILES LIMITED,VTL
ECLERX.NS,ECLERX SERVICES LIMITED,ECLERX
GRANULES.NS,GRANULES INDIA LIMITED,GRANULES
SWSOLAR.NS,STERLING AND WILSON RENEWABLE ENERGY LIMITED,SWSOLAR
RAINBOW.NS,RAINBOW CHILDRENS MEDICARE LIMITED,RAINBOW
NAVA.NS,NAVA LIMITED,NAVA
ELECON.NS,ELECON ENGINEERING COMPANY LIMITED,ELECON
GPIL.NS,GODAWARI POWER AND ISPAT LIMITED,GPIL
SARDAEN.NS,SARDA ENERGY & MINERALS LIMITED,SARDAEN
PRAJIND.NS,PRAJ INDUSTRIES LIMITED,PRAJIND
AAVAS.NS,AAVAS FINANCIERS LIMITED,AAVAS
DEEPAKFERT.NS,DEEPAK FERTILIZERS AND PETROCHEMICALS CORPORATION LIMITED,DEEPAKFERT
INGERRAND.NS,INGERSOLL RAND (INDIA) LIMITED,INGERRAND
RAYMONDLSL.NS,RAYMOND LIFESTYLE LIMITED,RAYMONDLSL
OLECTRA.NS,OLECTRA GREENTECH LIMITED,OLECTRA
ZYDUSWELL.NS,ZYDUS WELLNESS LIMITED,ZYDUSWELL
HONASA.NS,HONASA CONSUMER LIMITED,HONASA
MMTC.NS,MMTC LIMITED,MMTC
CRAFTSMAN.NS,CRAFTSMAN AUTOMATION LIMITED,CRAFTSMAN
IWEL.NS,INOX WIND ENERGY LIMITED,IWEL
ZEEL.NS,ZEE ENTERTAINMENT ENTERPRISES LIMITED,ZEEL
WESTLIFE.NS,WESTLIFE FOODWORLD LIMITED,WESTLIFE
LTFOODS.NS,LT FOODS LIMITED,LTFOODS
GLS.NS,GLENMARK LIFE SCIENCES LIMITED,GLS
JPPOWER.NS,JAIPRAKASH POWER VENTURES LIMITED,JPPOWER
MINDACORP.NS,MINDA CORPORATION LIMITED,MINDACORP
CUB.NS,CITY UNION BANK LIMITED,CUB
INTELLECT.NS,INTELLECT DESIGN ARENA LIMITED,INTELLECT
NUVOCO.NS,NUVOCO VISTAS CORPORATION LIMITED,NUVOCO
RAYMOND.NS,RAYMOND LIMITED,RAYMOND
CHENNPETRO.NS,CHENNAI PETROLEUM CORPORATION LIMITED,CHENNPETRO
AKUMS.NS,AKUMS DRUGS AND PHARMACEUTICALS LIMITED,AKUMS
VOLTAMP.NS,VOLTAMP TRANSFORMERS LIMITED,VOLTAMP
TARIL.NS,TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED,TARIL
TTKPRESTIG.NS,TTK PRESTIGE LIMITED,TTKPRESTIG
GENUSPOWER.NS,GENUS POWER INFRASTRUCTURES LIMITED,GENUSPOWER
ALOKINDS.NS,ALOK INDUSTRIES LIMITED,ALOKINDS
RBLBANK.NS,RBL BANK LIMITED,RBLBANK
ENGINERSIN.NS,ENGINEERS INDIA LIMITED,ENGINERSIN
RHIM.NS,RHI MAGNESITA INDIA LIMITED,RHIM
MARKSANS.NS,MARKSANS PHARMA LIMITED,MARKSANS
HAPPSTMNDS.NS,HAPPIEST MINDS TECHNOLOGIES LIMITED,HAPPSTMNDS
TEGA.NS,TEGA INDUSTRIES LIMITED,TEGA
AETHER.NS,AETHER INDUSTRIES LIMITED,AETHER
JMFINANCIL.NS,JM FINANCIAL LIMITED,JMFINANCIL
SAFARI.NS,SAFARI INDUSTRIES (INDIA) LIMITED,SAFARI
CEATLTD.NS,CEAT LIMITED,CEATLTD
SCI.NS,SHIPPING CORPORATION OF INDIA LIMITED,SCI
GMDCLTD.NS,GUJARAT MINERAL DEVELOPMENT CORPORATION LIMITED,GMDCLTD
J&KBANK.NS,THE JAMMU & KASHMIR BANK LIMITED,J&KBANK
MAHSCOOTER.NS,MAHARASHTRA SCOOTERS LIMITED,MAHSCOOTER
USHAMART.NS,USHA MARTIN LIMITED,USHAMART
TANLA.NS,TANLA PLATFORMS LIMITED,TANLA
STAR.NS,STRIDES PHARMA SCIENCE LIMITED,STAR
ELECTCAST.NS,ELECTROSTEEL CASTINGS LIMITED,ELECTCAST
SANOFICONR.NS,SANOFI CONSUMER HEALTHCARE INDIA LIMITED,SANOFICONR
CANFINHOME.NS,CAN FIN HOMES LIMITED,CANFINHOME
BALRAMCHIN.NS,BALRAMPUR CHINI MILLS LIMITED,BALRAMCHIN
JUBLINGREA.NS,JUBILANT INGREVIA LIMITED,JUBLINGREA
